"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 20 15:12:28 UTC 2026","Thu Aug 20 15:12:30 UTC 2026","1418","Medusa Admin Auth Suite","Regression Tests","com.medusa.automation.tests.LoginTest","com.medusa.automation.tests.LoginTest","tc006_submitEmailOnlyEmptyPassword","tc006_submitEmailOnlyEmptyPassword","MED_AUTH_TC_006: Submit với Email nhưng Password trống → hệ thống ngăn submit"
"passed","Thu Aug 20 15:11:40 UTC 2026","Thu Aug 20 15:11:40 UTC 2026","266","Medusa API Test Suite","Storefront API — Authentication","com.medusa.automation.tests.api.storefront.StorefrontAuthApiTest","com.medusa.automation.tests.api.storefront.StorefrontAuthApiTest","TC_API_AUTH_005_registerToken_missingPassword_returnsError","TC_API_AUTH_005_registerToken_missingPassword_returnsError","TC_API_AUTH_005 — Register thiếu password → server từ chối (400/401/422)"
"broken","Thu Aug 20 15:11:42 UTC 2026","Thu Aug 20 15:11:42 UTC 2026","0","Medusa API Test Suite","Admin API — Authentication","com.medusa.automation.tests.api.admin.AdminAuthApiTest","com.medusa.automation.tests.api.admin.AdminAuthApiTest","TC_API_ADMIN_AUTH_005_login_missingPassword_returns400","TC_API_ADMIN_AUTH_005_login_missingPassword_returns400","TC_API_ADMIN_AUTH_005 — Admin login thiếu password field → 400/422"
"passed","Thu Aug 20 15:12:02 UTC 2026","Thu Aug 20 15:12:04 UTC 2026","1553","Medusa Admin Auth Suite","Regression Tests","com.medusa.automation.tests.LoginTest","com.medusa.automation.tests.LoginTest","tc001_loginPageStructureDisplayed","tc001_loginPageStructureDisplayed","MED_AUTH_TC_001: Verify trang Login hiển thị đầy đủ: Email, Password, Submit button, Reset link"
"broken","Thu Aug 20 15:13:16 UTC 2026","Thu Aug 20 15:13:17 UTC 2026","873","Medusa Admin Auth Suite","Regression Tests","com.medusa.automation.tests.AdminOrderTest","com.medusa.automation.tests.AdminOrderTest","testDraftOrderValidationInvalidEmail","testDraftOrderValidationInvalidEmail","MED_ORD_TC_047: Nhập email sai format (thiếu @) → validation error email"
"broken","Thu Aug 20 15:11:42 UTC 2026","Thu Aug 20 15:11:42 UTC 2026","1","Medusa API Test Suite","Admin API — Authentication","com.medusa.automation.tests.api.admin.AdminAuthApiTest","com.medusa.automation.tests.api.admin.AdminAuthApiTest","TC_API_ADMIN_AUTH_004_login_missingEmail_returns400","TC_API_ADMIN_AUTH_004_login_missingEmail_returns400","TC_API_ADMIN_AUTH_004 — Admin login thiếu email field → 400/422"
"failed","Thu Aug 20 15:11:42 UTC 2026","Thu Aug 20 15:11:42 UTC 2026","102","Medusa API Test Suite","Storefront API — Orders","com.medusa.automation.tests.api.storefront.StorefrontOrderApiTest","com.medusa.automation.tests.api.storefront.StorefrontOrderApiTest","TC_API_ORDER_003_getOrders_invalidToken_returns401","TC_API_ORDER_003_getOrders_invalidToken_returns401","TC_API_ORDER_003 — Lấy orders với Bearer token không hợp lệ → 401"
"failed","Thu Aug 20 15:11:43 UTC 2026","Thu Aug 20 15:11:43 UTC 2026","0","Medusa API Test Suite","Admin API — Orders","com.medusa.automation.tests.api.admin.AdminOrderApiTest","com.medusa.automation.tests.api.admin.AdminOrderApiTest","TC_API_ADMIN_ORDER_005_getOrderById_validId_returns200WithOrder","TC_API_ADMIN_ORDER_005_getOrderById_validId_returns200WithOrder","TC_API_ADMIN_ORDER_005 — Admin lấy chi tiết order theo ID → 200 + order object đầy đủ"
"passed","Thu Aug 20 15:12:35 UTC 2026","Thu Aug 20 15:12:37 UTC 2026","1874","Medusa Admin Auth Suite","Regression Tests","com.medusa.automation.tests.LoginTest","com.medusa.automation.tests.LoginTest","tc013_xssInjectionInEmailField","tc013_xssInjectionInEmailField","MED_AUTH_TC_013: XSS injection trong Email → KHÔNG có popup alert, script bị sanitize"
"passed","Thu Aug 20 15:12:56 UTC 2026","Thu Aug 20 15:12:58 UTC 2026","2463","Medusa Admin Auth Suite","Regression Tests","com.medusa.automation.tests.SessionManagementTest","com.medusa.automation.tests.SessionManagementTest","tc031_routeGuardRedirectsOrdersToLogin","tc031_routeGuardRedirectsOrdersToLogin","MED_AUTH_TC_031: Truy cập /app/orders không có session → phải redirect về /app/login"
"passed","Thu Aug 20 15:13:10 UTC 2026","Thu Aug 20 15:13:13 UTC 2026","2900","Medusa Admin Auth Suite","Regression Tests","com.medusa.automation.tests.AdminProductTest","com.medusa.automation.tests.AdminProductTest","testUnauthenticatedRedirectToLogin","testUnauthenticatedRedirectToLogin","Truy cập /app/products không có session → bị redirect về /app/login"
"broken","Thu Aug 20 15:14:07 UTC 2026","Thu Aug 20 15:14:07 UTC 2026","0","StoreFront Test Suite","SF Regression Tests","com.medusa.automation.tests.StoreFrontCheckoutTest","com.medusa.automation.tests.StoreFrontCheckoutTest","testCartToCheckoutStep1Navigation","testCartToCheckoutStep1Navigation","Click 'Go to Checkout' từ Cart → Checkout page hiển thị Bước 1 (Shipping Address)"
"failed","Thu Aug 20 15:11:42 UTC 2026","Thu Aug 20 15:11:42 UTC 2026","104","Medusa API Test Suite","Storefront API — Orders","com.medusa.automation.tests.api.storefront.StorefrontOrderApiTest","com.medusa.automation.tests.api.storefront.StorefrontOrderApiTest","TC_API_ORDER_002_getOrders_noAuth_returns401","TC_API_ORDER_002_getOrders_noAuth_returns401","TC_API_ORDER_002 — Lấy orders không có Authorization header → 401"
"broken","Thu Aug 20 15:12:40 UTC 2026","Thu Aug 20 15:12:42 UTC 2026","1439","Medusa Admin Auth Suite","Regression Tests","com.medusa.automation.tests.LoginTest","com.medusa.automation.tests.LoginTest","tc015_validRfc5321Email","tc015_validRfc5321Email","MED_AUTH_TC_015: Email hợp lệ RFC 5321 'test.user+tag_01@sub.domain.com' → server xử lý bình thường, trả 'Invalid email or password'"
"failed","Thu Aug 20 15:11:43 UTC 2026","Thu Aug 20 15:11:43 UTC 2026","0","Medusa API Test Suite","Admin API — Orders","com.medusa.automation.tests.api.admin.AdminOrderApiTest","com.medusa.automation.tests.api.admin.AdminOrderApiTest","TC_API_ADMIN_ORDER_008_listOrders_responseStructure_isValid","TC_API_ADMIN_ORDER_008_listOrders_responseStructure_isValid","TC_API_ADMIN_ORDER_008 — Validate response structure: count >= 0, limit > 0, offset >= 0"
"failed","Thu Aug 20 15:11:43 UTC 2026","Thu Aug 20 15:11:43 UTC 2026","0","Medusa API Test Suite","Admin API — Products","com.medusa.automation.tests.api.admin.AdminProductApiTest","com.medusa.automation.tests.api.admin.AdminProductApiTest","TC_API_ADMIN_PROD_006_getProductById_validId_returns200WithProduct","TC_API_ADMIN_PROD_006_getProductById_validId_returns200WithProduct","TC_API_ADMIN_PROD_006 — Admin lấy chi tiết product theo ID → 200 + product object"
"passed","Thu Aug 20 15:11:40 UTC 2026","Thu Aug 20 15:11:40 UTC 2026","233","Medusa API Test Suite","Storefront API — Authentication","com.medusa.automation.tests.api.storefront.StorefrontAuthApiTest","com.medusa.automation.tests.api.storefront.StorefrontAuthApiTest","TC_API_AUTH_006_login_validCredentials_returns200WithToken","TC_API_AUTH_006_login_validCredentials_returns200WithToken","TC_API_AUTH_006 — Login thành công với credentials hợp lệ → 200 + JWT token"
"broken","Thu Aug 20 15:13:37 UTC 2026","Thu Aug 20 15:13:38 UTC 2026","899","Medusa Admin Auth Suite","Known Bug Tests (Expected FAIL — App Bugs)","com.medusa.automation.tests.SessionManagementTest","com.medusa.automation.tests.SessionManagementTest","tc037_logoutSuccessfully_knownBug","tc037_logoutSuccessfully_knownBug","MED_AUTH_TC_037 [KNOWN BUG]: Click 'Log out' → Expected: session hủy + redirect /app/login. App Bug: không redirect ngay, phải F5 mới redirect"
"failed","Thu Aug 20 15:11:42 UTC 2026","Thu Aug 20 15:11:42 UTC 2026","0","Medusa API Test Suite","Storefront API — Orders","com.medusa.automation.tests.api.storefront.StorefrontOrderApiTest","com.medusa.automation.tests.api.storefront.StorefrontOrderApiTest","TC_API_ORDER_005_getOrderById_authenticated_returns200","TC_API_ORDER_005_getOrderById_authenticated_returns200","TC_API_ORDER_005 — Lấy chi tiết order by ID (có Bearer token) → 200 + order object"
"failed","Thu Aug 20 15:11:43 UTC 2026","Thu Aug 20 15:11:43 UTC 2026","0","Medusa API Test Suite","Admin API — Customers","com.medusa.automation.tests.api.admin.AdminCustomerApiTest","com.medusa.automation.tests.api.admin.AdminCustomerApiTest","TC_API_ADMIN_CUS_011_listCustomers_emailField_isValidFormat","TC_API_ADMIN_CUS_011_listCustomers_emailField_isValidFormat","TC_API_ADMIN_CUS_011 — Mỗi customer trong list phải có email field hợp lệ (không null, chứa @)"
"failed","Thu Aug 20 15:11:42 UTC 2026","Thu Aug 20 15:11:42 UTC 2026","1","Medusa API Test Suite","Storefront API — Cart & Checkout","com.medusa.automation.tests.api.storefront.StorefrontCartApiTest","com.medusa.automation.tests.api.storefront.StorefrontCartApiTest","TC_API_CART_005_getCart_noPublishableKey_returns401","TC_API_CART_005_getCart_noPublishableKey_returns401","TC_API_CART_005 — Lấy cart không có x-publishable-api-key header → 401 Unauthorized"
"broken","Thu Aug 20 15:14:14 UTC 2026","Thu Aug 20 15:14:14 UTC 2026","0","StoreFront Test Suite","SF Regression Tests","com.medusa.automation.tests.StoreFrontAccountTest","com.medusa.automation.tests.StoreFrontAccountTest","testRegisterFormEmptySubmitShowsHtml5Validation","testRegisterFormEmptySubmitShowsHtml5Validation","Submit form Đăng ký rỗng — HTML5 browser validation chặn tại trường First name"
"passed","Thu Aug 20 15:11:41 UTC 2026","Thu Aug 20 15:11:41 UTC 2026","129","Medusa API Test Suite","Storefront API — Authentication","com.medusa.automation.tests.api.storefront.StorefrontAuthApiTest","com.medusa.automation.tests.api.storefront.StorefrontAuthApiTest","TC_API_AUTH_010_resetPassword_validIdentifier_returns201","TC_API_AUTH_010_resetPassword_validIdentifier_returns201","TC_API_AUTH_010 — Gửi reset password request thành công → 201"
"broken","Thu Aug 20 15:14:11 UTC 2026","Thu Aug 20 15:14:11 UTC 2026","0","StoreFront Test Suite","SF Regression Tests","com.medusa.automation.tests.StoreFrontCheckoutTest","com.medusa.automation.tests.StoreFrontCheckoutTest","testCompleteCheckoutHappyPath","testCompleteCheckoutHappyPath","Happy path: Điền đầy đủ Checkout 4 bước → Đặt hàng thành công"
"broken","Thu Aug 20 15:13:03 UTC 2026","Thu Aug 20 15:13:04 UTC 2026","865","Medusa Admin Auth Suite","Regression Tests","com.medusa.automation.tests.SessionManagementTest","com.medusa.automation.tests.SessionManagementTest","tc038_afterLogoutBrowserBackNotAllowed","tc038_afterLogoutBrowserBackNotAllowed","MED_AUTH_TC_038: Sau logout, nhấn Back → session đã hủy → redirect về /app/login, không vào dashboard"
"failed","Thu Aug 20 15:11:42 UTC 2026","Thu Aug 20 15:11:42 UTC 2026","0","Medusa API Test Suite","Admin API — Orders","com.medusa.automation.tests.api.admin.AdminOrderApiTest","com.medusa.automation.tests.api.admin.AdminOrderApiTest","TC_API_ADMIN_ORDER_001_listOrders_adminAuth_returns200WithArray","TC_API_ADMIN_ORDER_001_listOrders_adminAuth_returns200WithArray","TC_API_ADMIN_ORDER_001 — Admin list tất cả orders → 200 + orders array"
"passed","Thu Aug 20 15:11:41 UTC 2026","Thu Aug 20 15:11:41 UTC 2026","139","Medusa API Test Suite","Storefront API — Authentication","com.medusa.automation.tests.api.storefront.StorefrontAuthApiTest","com.medusa.automation.tests.api.storefront.StorefrontAuthApiTest","TC_API_AUTH_011_resetPassword_missingIdentifier_verifyBehavior","TC_API_AUTH_011_resetPassword_missingIdentifier_verifyBehavior","TC_API_AUTH_011 — Reset password thiếu identifier → Medusa trả 201 (fire event nhưng không gửi email) — KNOWN BEHAVIOR"
"broken","Thu Aug 20 15:13:32 UTC 2026","Thu Aug 20 15:13:33 UTC 2026","1413","Medusa Admin Auth Suite","Known Bug Tests (Expected FAIL — App Bugs)","com.medusa.automation.tests.LoginTest","com.medusa.automation.tests.LoginTest","tc012_loginWithUpperCaseEmail_knownBug","tc012_loginWithUpperCaseEmail_knownBug","MED_AUTH_TC_012 [KNOWN BUG]: Email ADMIN@YOURMAIL.COM (chữ hoa) → Expected: login thành công (case-insensitive). App Bug: không thông báo lỗi gì, trang không chuyển"
"passed","Thu Aug 20 15:11:43 UTC 2026","Thu Aug 20 15:11:43 UTC 2026","96","Medusa API Test Suite","Admin API — Customers","com.medusa.automation.tests.api.admin.AdminCustomerApiTest","com.medusa.automation.tests.api.admin.AdminCustomerApiTest","TC_API_ADMIN_CUS_003_listCustomers_invalidToken_returns401","TC_API_ADMIN_CUS_003_listCustomers_invalidToken_returns401","TC_API_ADMIN_CUS_003 — List customers với Bearer token không hợp lệ → 401 Unauthorized"
"failed","Thu Aug 20 15:11:43 UTC 2026","Thu Aug 20 15:11:43 UTC 2026","0","Medusa API Test Suite","Admin API — Customers","com.medusa.automation.tests.api.admin.AdminCustomerApiTest","com.medusa.automation.tests.api.admin.AdminCustomerApiTest","TC_API_ADMIN_CUS_004_listCustomers_paginationLimit5_returnsMaxItems","TC_API_ADMIN_CUS_004_listCustomers_paginationLimit5_returnsMaxItems","TC_API_ADMIN_CUS_004 — List customers với limit=5 → 200 + số items ≤ 5 + limit field = 5"
"broken","Thu Aug 20 15:13:26 UTC 2026","Thu Aug 20 15:13:27 UTC 2026","1426","Medusa Admin Auth Suite","Known Bug Tests (Expected FAIL — App Bugs)","com.medusa.automation.tests.LoginTest","com.medusa.automation.tests.LoginTest","tc007_submitPasswordOnlyEmptyEmail_knownBug","tc007_submitPasswordOnlyEmptyEmail_knownBug","MED_AUTH_TC_007 [KNOWN BUG]: Submit với Password nhưng Email trống → Expected: validation 'Email required'. App Bug: không hiển thị validation nhưng trang vẫn không chuyển"
"passed","Thu Aug 20 15:11:43 UTC 2026","Thu Aug 20 15:11:43 UTC 2026","121","Medusa API Test Suite","Admin API — Orders","com.medusa.automation.tests.api.admin.AdminOrderApiTest","com.medusa.automation.tests.api.admin.AdminOrderApiTest","TC_API_ADMIN_ORDER_006_getOrderById_noAuth_returns401","TC_API_ADMIN_ORDER_006_getOrderById_noAuth_returns401","TC_API_ADMIN_ORDER_006 — Admin get order by ID không có auth → 401"
"broken","Thu Aug 20 15:14:06 UTC 2026","Thu Aug 20 15:14:06 UTC 2026","0","StoreFront Test Suite","SF Regression Tests","com.medusa.automation.tests.StoreFrontCartTest","com.medusa.automation.tests.StoreFrontCartTest","testCartPageStructureWithItems","testCartPageStructureWithItems","Cấu trúc 2 cột trang /gb/cart khi có sản phẩm — item list + order summary"
"broken","Thu Aug 20 15:13:19 UTC 2026","Thu Aug 20 15:13:20 UTC 2026","866","Medusa Admin Auth Suite","Regression Tests","com.medusa.automation.tests.AdminOrderTest","com.medusa.automation.tests.AdminOrderTest","testDraftOrderValidationMissingSalesChannel","testDraftOrderValidationMissingSalesChannel","MED_ORD_TC_046: Tạo Draft Order bỏ qua Sales Channel → validation error"
"broken","Thu Aug 20 15:13:28 UTC 2026","Thu Aug 20 15:13:29 UTC 2026","1485","Medusa Admin Auth Suite","Known Bug Tests (Expected FAIL — App Bugs)","com.medusa.automation.tests.LoginTest","com.medusa.automation.tests.LoginTest","tc010_loginWithInvalidEmailMissingAt_knownBug","tc010_loginWithInvalidEmailMissingAt_knownBug","MED_AUTH_TC_010 [KNOWN BUG]: Email thiếu @ → Expected: HTML5 validation 'Please include an @'. App Bug: không hiển thị validation"
"passed","Thu Aug 20 15:11:42 UTC 2026","Thu Aug 20 15:11:42 UTC 2026","0","Medusa API Test Suite","Storefront API — Orders","com.medusa.automation.tests.api.storefront.StorefrontOrderApiTest","com.medusa.automation.tests.api.storefront.StorefrontOrderApiTest","TC_API_ORDER_006_getOrderById_publishableKeyOnly_returns200","TC_API_ORDER_006_getOrderById_publishableKeyOnly_returns200","TC_API_ORDER_006 — Lấy order bằng publishable key (không cần Bearer) → 200 (public endpoint by design)"
"failed","Thu Aug 20 15:11:43 UTC 2026","Thu Aug 20 15:11:43 UTC 2026","0","Medusa API Test Suite","Admin API — Products","com.medusa.automation.tests.api.admin.AdminProductApiTest","com.medusa.automation.tests.api.admin.AdminProductApiTest","TC_API_ADMIN_PROD_005_listProducts_filterByTitle_returnsMatchingProducts","TC_API_ADMIN_PROD_005_listProducts_filterByTitle_returnsMatchingProducts","TC_API_ADMIN_PROD_005 — Filter products theo title → 200 + kết quả chứa title được filter"
"skipped","Thu Aug 20 15:11:42 UTC 2026","Thu Aug 20 15:11:42 UTC 2026","0","Medusa API Test Suite","Storefront API — Cart & Checkout","com.medusa.automation.tests.api.storefront.StorefrontCartApiTest","com.medusa.automation.tests.api.storefront.StorefrontCartApiTest","TC_API_CART_006_addLineItem_validData_returns200","TC_API_CART_006_addLineItem_validData_returns200","TC_API_CART_006 — Thêm sản phẩm vào cart với variant_id và quantity hợp lệ → 200 + items updated"
"skipped","Thu Aug 20 15:11:42 UTC 2026","Thu Aug 20 15:11:42 UTC 2026","0","Medusa API Test Suite","Storefront API — Cart & Checkout","com.medusa.automation.tests.api.storefront.StorefrontCartApiTest","com.medusa.automation.tests.api.storefront.StorefrontCartApiTest","TC_API_CART_003_getCart_validId_returns200WithCartObject","TC_API_CART_003_getCart_validId_returns200WithCartObject","TC_API_CART_003 — Lấy thông tin cart theo ID vừa tạo → 200 + cart object đầy đủ"
"broken","Thu Aug 20 15:13:56 UTC 2026","Thu Aug 20 15:13:56 UTC 2026","4","StoreFront Test Suite","SF Regression Tests","com.medusa.automation.tests.StoreFrontHomeTest","com.medusa.automation.tests.StoreFrontHomeTest","testMenuOverlayOpensWithNavigationLinks","testMenuOverlayOpensWithNavigationLinks","Click Menu button → Overlay mở ra và hiển thị các links điều hướng"
"broken","Thu Aug 20 15:13:20 UTC 2026","Thu Aug 20 15:13:21 UTC 2026","862","Medusa Admin Auth Suite","Regression Tests","com.medusa.automation.tests.AdminOrderTest","com.medusa.automation.tests.AdminOrderTest","testOrdersListPageDisplayed","testOrdersListPageDisplayed","MED_ORD_TC_001: Admin navigate /app/orders → danh sách đơn hàng hiển thị"
"broken","Thu Aug 20 15:14:15 UTC 2026","Thu Aug 20 15:14:15 UTC 2026","0","StoreFront Test Suite","SF Regression Tests","com.medusa.automation.tests.StoreFrontSearchTest","com.medusa.automation.tests.StoreFrontSearchTest","testNoResultsFoundForUnknownKeyword","testNoResultsFoundForUnknownKeyword","Tìm kiếm với từ khóa không khớp — Hiển thị 'No results found.' và không crash app"
"failed","Thu Aug 20 15:11:43 UTC 2026","Thu Aug 20 15:11:43 UTC 2026","0","Medusa API Test Suite","Admin API — Customers","com.medusa.automation.tests.api.admin.AdminCustomerApiTest","com.medusa.automation.tests.api.admin.AdminCustomerApiTest","TC_API_ADMIN_CUS_005_listCustomers_paginationOffset0_returnsFromStart","TC_API_ADMIN_CUS_005_listCustomers_paginationOffset0_returnsFromStart","TC_API_ADMIN_CUS_005 — List customers với offset=0 → 200 + offset field trong response = 0"
"passed","Thu Aug 20 15:11:43 UTC 2026","Thu Aug 20 15:11:43 UTC 2026","125","Medusa API Test Suite","Admin API — Products","com.medusa.automation.tests.api.admin.AdminProductApiTest","com.medusa.automation.tests.api.admin.AdminProductApiTest","TC_API_ADMIN_PROD_003_listProducts_invalidToken_returns401","TC_API_ADMIN_PROD_003_listProducts_invalidToken_returns401","TC_API_ADMIN_PROD_003 — List products với token không hợp lệ → 401"
"broken","Thu Aug 20 15:13:04 UTC 2026","Thu Aug 20 15:13:05 UTC 2026","889","Medusa Admin Auth Suite","Regression Tests","com.medusa.automation.tests.SessionManagementTest","com.medusa.automation.tests.SessionManagementTest","tc049_refreshDashboardKeepsSession","tc049_refreshDashboardKeepsSession","MED_AUTH_TC_049: Đang ở /app/orders, F5 refresh → session vẫn còn, không redirect login"
"broken","Thu Aug 20 15:14:03 UTC 2026","Thu Aug 20 15:14:03 UTC 2026","3","StoreFront Test Suite","SF Regression Tests","com.medusa.automation.tests.StoreFrontProductTest","com.medusa.automation.tests.StoreFrontProductTest","testProductGalleryMainImageIsDisplayed","testProductGalleryMainImageIsDisplayed","Gallery ảnh sản phẩm — main image hiển thị"
"skipped","Thu Aug 20 15:11:42 UTC 2026","Thu Aug 20 15:11:42 UTC 2026","0","Medusa API Test Suite","Storefront API — Cart & Checkout","com.medusa.automation.tests.api.storefront.StorefrontCartApiTest","com.medusa.automation.tests.api.storefront.StorefrontCartApiTest","TC_API_CART_008_addLineItem_negativeQuantity_returnsError","TC_API_CART_008_addLineItem_negativeQuantity_returnsError","TC_API_CART_008 — Thêm line item với quantity âm (-1) → error (400/422)"
"broken","Thu Aug 20 15:14:12 UTC 2026","Thu Aug 20 15:14:12 UTC 2026","1","StoreFront Test Suite","SF Regression Tests","com.medusa.automation.tests.StoreFrontAccountTest","com.medusa.automation.tests.StoreFrontAccountTest","testLoginFormEmptySubmitShowsHtml5Validation","testLoginFormEmptySubmitShowsHtml5Validation","Submit form Đăng nhập rỗng — HTML5 browser validation ngăn chặn submit"
"broken","Thu Aug 20 15:14:13 UTC 2026","Thu Aug 20 15:14:13 UTC 2026","1","StoreFront Test Suite","SF Regression Tests","com.medusa.automation.tests.StoreFrontAccountTest","com.medusa.automation.tests.StoreFrontAccountTest","testLoginWithValidCredentials","testLoginWithValidCredentials","Login thành công với credentials hợp lệ — chuyển đến Account Dashboard"
"passed","Thu Aug 20 15:11:40 UTC 2026","Thu Aug 20 15:11:40 UTC 2026","176","Medusa API Test Suite","Storefront API — Authentication","com.medusa.automation.tests.api.storefront.StorefrontAuthApiTest","com.medusa.automation.tests.api.storefront.StorefrontAuthApiTest","TC_API_AUTH_007_login_wrongPassword_returns401","TC_API_AUTH_007_login_wrongPassword_returns401","TC_API_AUTH_007 — Login sai password → expect 401 Unauthorized"
"passed","Thu Aug 20 15:11:42 UTC 2026","Thu Aug 20 15:11:42 UTC 2026","121","Medusa API Test Suite","Storefront API — Cart & Checkout","com.medusa.automation.tests.api.storefront.StorefrontCartApiTest","com.medusa.automation.tests.api.storefront.StorefrontCartApiTest","TC_API_CART_002_createCart_emptyBody_createsGracefully","TC_API_CART_002_createCart_emptyBody_createsGracefully","TC_API_CART_002 — Tạo cart không có region_id → Medusa tạo cart gracefully (200)"
"broken","Thu Aug 20 15:14:07 UTC 2026","Thu Aug 20 15:14:07 UTC 2026","0","StoreFront Test Suite","SF Regression Tests","com.medusa.automation.tests.StoreFrontCartTest","com.medusa.automation.tests.StoreFrontCartTest","testIncreaseQuantityInCart","testIncreaseQuantityInCart","Tăng số lượng sản phẩm từ 1 thành 3 — Cart cập nhật số lượng đúng"
"passed","Thu Aug 20 15:11:41 UTC 2026","Thu Aug 20 15:11:41 UTC 2026","125","Medusa API Test Suite","Storefront API — Authentication","com.medusa.automation.tests.api.storefront.StorefrontAuthApiTest","com.medusa.automation.tests.api.storefront.StorefrontAuthApiTest","TC_API_AUTH_009_login_emptyBody_returns400","TC_API_AUTH_009_login_emptyBody_returns400","TC_API_AUTH_009 — Login với body rỗng → expect 400/422"
